proposition12,category,c1,oc1,a1,oa1,c2,oc2,a2,oa2,rel
Compared to the peers studying in the home country it will be more likely for the one who is living overseas to be successful in adapting himself/herself into new environments and situations in life +++$+++ those difficulties will turn into valuable experiences in the following steps of life,none,peers studying home country,successful,adapting new environments  situations  life,none,those difficulties,will turn into valuable,experiences following steps  life,none,yes
it improves self-esteem and confidence +++$+++ people who exercise have higher self esteem and confidence,supports,it ,improves ,self-esteem  confidence,none,people who exercise ,have higher ,self esteem and confidence,none,no
it improves self-esteem and confidence +++$+++ active people are less likely to have depression and anxiety,supports,it ,improves ,self-esteem  confidence,none,active people ,are less likely ,depression  anxiety,none,no
Many people come up with plenty of excuses to not exercise +++$+++ if you truly want to improve your mental and physical health you will find the energy and time to exercise,attacks,Many people ,come up with plenty of excuses ,exercise,to not , mental and physical health ,truly want to improve find,energy  time  exercise,none,no
Excerising is one of the most important things in life +++$+++ it improves self-esteem and confidence,supports,Excerising ,is one of the most important ,things  life,none,it ,improves ,self-esteem  confidence,none,no
Excerising is one of the most important things in life +++$+++ it's really fun,supports,Excerising ,is one of the most important ,things  life,none, it's ,really fun,fun,none,no
the heart doesn't have to work as hard as it does with weak muscles +++$+++ When your heart muscle is strong it can do the same amount of work at a lower heart rate,supports,heart ,doesn't have to work hard,  muscles,weak,heart muscle, is strong it can do ,work  heart rate,lower,no
it improves self-esteem and confidence +++$+++ Most people think of exercising as only being a physical activity,attacks,it ,improves ,self-esteem  confidence,none, people think  exercising ,as only ,physical activity,none,no
it's really fun +++$+++ exercising takes up a lot of time and it requires too much work,attacks, it's ,really fun,fun,none,exercising uch work, takes up a lot of   requires too much, time  work,none,no
Excerising is one of the most important things in life +++$+++ It is a crucial element for living a healthier longer and happier life,supports,Excerising ,is one of the most important ,things  life,none,It ,is a crucial element , living life,a healthier longer  happier ,no
Excerising is one of the most important things in life +++$+++ The number one reason why people should exercise is because it will keep you healthy,supports,Excerising ,is one of the most important ,things  life,none, reason  people  exercise ,will keep, healthy,none,no
Excerising is one of the most important things in life +++$+++ it can even be fun,supports,Excerising ,is one of the most important ,things  life,none, it ,can  be fun,fun,none,no
Everyone should take time out of their days to exercise +++$+++ It is extremely rewarding and worthwhile,supports,Everyone, should take time ,days  exercise,none,It ,is extremely  rewarding  worthwhile,rewarding  worthwhile,none,no
Excerising is one of the most important things in life +++$+++ America's number one killer is cardiovascular diseases which can easily be prevented by exercising,supports,Excerising ,is one of the most important ,things  life,none,America's number one killer  cardiovascular diseases ,easily be prevented,exercising,none,no
Everyone should take time out of their days to exercise +++$+++ they can improve their lives in many ways,supports,Everyone, should take time ,days  exercise,none,they, can improve ,lives ,in many ways,no
Excerising is one of the most important things in life +++$+++ Exercise not only reduces the risk of health problems and various diseases but it also has an effect on overall appearance,supports,Excerising ,is one of the most important ,things  life,none,Exercise ,reduces  risk has an effect,health problems diseases appearance,none,no
Excerising is one of the most important things in life +++$+++ exercising and being active can improve self-esteem and confidence,supports,Excerising ,is one of the most important ,things  life,none,exercising  being active, can improve ,self-esteem  confidence,none,no
The number one reason why people should exercise is because it will keep you healthy +++$+++ this condition can easily be prevented or controlled by exercising,supports, reason  people  exercise ,will keep, healthy,none,condition ,can easily be prevented or controlled by exercising,prevented  controlled  exercising,none,no
it improves self-esteem and confidence +++$+++ it helps relieves tension and stress,supports,it ,improves ,self-esteem  confidence,none, it helps relieves tension and stress,helps relieves ,tension  stress,none,no
The number one reason why people should exercise is because it will keep you healthy +++$+++ cardiovascular diseases are becoming more and more common,supports, reason  people  exercise ,will keep, healthy,none,cardiovascular diseases ,are becoming more and more common,none,none,no
The number one reason why people should exercise is because it will keep you healthy +++$+++ Exercising makes the heart muscles stronger,supports, reason  people  exercise ,will keep, healthy,none,Exercising ,makes  stronger,heart muscles,none,no
it improves self-esteem and confidence +++$+++ Exercising gives people energy which helps people have positive outlooks on life,supports,it ,improves ,self-esteem  confidence,none,Exercising ,gives helps,people energy    outlooks  life,positive,no
cardiovascular diseases are becoming more and more common +++$+++ Americans are eating enormous amounts of fast foods these days,supports,cardiovascular diseases ,are becoming more and more common,none,none,Americans ,none, eating  fast foods ,enormous,no
The number one reason why people should exercise is because it will keep you healthy +++$+++ The main cause for this condition is obesity,supports,reason people exercise ,will keep  ,healthy,none,main cause  this condition ,is obesity,obesity,none,no
it improves self-esteem and confidence +++$+++ when you're exercising you're bringing more oxygen into you lungs and your brain appreciates the extra air,supports,it ,improves ,self-esteem  confidence,none,exercising ,bringing more appreciates,oxygen  lungs brain air,none,no
it improves self-esteem and confidence +++$+++ When you exercise you body releases endorphins which are chemicals that create a happy feeling in brain,supports,it ,improves ,self-esteem  confidence,none,exercise  body, releases  create happy feeling,endorphins  chemicals  brain,none,no
it improves self-esteem and confidence +++$+++ Exercising also helps improve you brain function and your memory,supports,it ,improves ,self-esteem  confidence,none, Exercising ,helps improve ,brain function memory,none,no
cardiovascular diseases are becoming more and more common +++$+++ One out of every four Americans are suffering from some form of cardiovascular diseases which results in more than forty-five percent of deaths annually,supports,cardiovascular diseases ,are becoming more and more common,none,none,One out of every four Americans ,are suffering from which results in ,cardiovascular diseases forty-five percent  deaths annually,none,no
it improves self-esteem and confidence +++$+++ it's also a mental activity,supports,it ,improves ,self-esteem  confidence,none,it's ,is,mental activity,none,no
It is one of the most important things in life +++$+++ Many people come up with plenty of excuses to not exercise,attacks,It ,is one of the most important ,things in life,none,Many people ,come up with plenty of excuses ,exercise,to not ,no
it's really fun +++$+++ When people actually take the time to try exercising they realize it's an enjoyable experience,supports, it's ,really fun,fun,none, people time exercising ,enjoyable ,experience,none,no
The number one reason why people should exercise is because it will keep you healthy +++$+++ Exercising not only helps prevent cardiovascular diseases but it also helps prevent strokes type 2 diabetes and even certain types of cancer,supports, reason  people  exercise ,will keep, healthy,none,Exercising ,helps prevent ,cardiovascular diseases strokes type 2 diabetes cancer,none,no
it's really fun +++$+++ There is no greater feeling than achieving a weight lose goal and being able to feel good about your body,supports, it's ,really fun,fun,none,feeling  ,greater achieving feel good, weight lose goal body,none,no
it's really fun +++$+++ Setting goals and rewards will help you stay motivated and consistent with exercising,supports, it's ,really fun,fun,none,Setting goals rewards ,will help ,stay motivated  consistent  exercising,none,no
it's really fun +++$+++ When you having fun you don't even realize that your exercising and you look forward to it everyday,supports, it's ,really fun,fun,none,fun ,having, exercising ,none,no
Excerising is one of the most important things in life +++$+++ It is one of the most important things in life,supports,Excerising ,is one of the most important ,things  life,none,It ,is one of the most important ,things in life,none,no
The number one reason why people should exercise is because it will keep you healthy +++$+++ the heart doesn't have to work as hard as it does with weak muscles,supports, reason  people  exercise ,will keep, healthy,none,heart ,doesn't have to work hard,  muscles,weak,no
it's really fun +++$+++ It doesn't matter how you exercise as long as you are being active,supports, it's ,really fun,fun,none,how  exercise , doesn't matter ,active,none,no
It is one of the most important things in life +++$+++ exercising is the key to making your life healthier longer and happier,supports,It ,is one of the most important ,things in life,none,exercising ,is the key , life healthier ,longer  happier,no
It is one of the most important things in life +++$+++ it's one hundred percent beneficial,supports,It ,is one of the most important ,things in life,none,it's ,one hundred percent beneficial,none,none,no
The main cause for this condition is obesity +++$+++ The more body fat that you have the greater your risk for heart disease,supports,main cause  this condition ,is obesity,obesity,none, body fat ,greater  risk , heart disease,none,no
it's one hundred percent beneficial +++$+++ It is a crucial element for living a healthier longer and happier life,none,it's ,one hundred percent beneficial,none,none,It, is a crucial element , living  life,healthier longer  happier,yes
Most people think of exercising as only being a physical activity +++$+++ Excerising is one of the most important things in life,none, people think  exercising ,as only ,physical activity,none,Excerising ,is one of the most important ,things  life,none,yes
It is a crucial element for living a healthier longer and happier life +++$+++ they can improve their lives in many ways,none,It ,is a crucial element , living life,a healthier longer  happier ,they, can improve ,lives ,in many ways,yes
Exercising not only helps prevent cardiovascular diseases but it also helps prevent strokes type 2 diabetes and even certain types of cancer +++$+++ exercising and being active can improve self-esteem and confidence,none,Exercising ,helps prevent ,cardiovascular diseases strokes type 2 diabetes cancer,none,exercising  being active, can improve ,self-esteem  confidence,none,yes
it helps relieves tension and stress +++$+++ Exercising not only helps prevent cardiovascular diseases but it also helps prevent strokes type 2 diabetes and even certain types of cancer,none, it helps relieves tension and stress,helps relieves ,tension  stress,none,Exercising ,helps prevent ,cardiovascular diseases strokes type 2 diabetes cancer,none,yes
Excerising is one of the most important things in life +++$+++ it's also a mental activity,none,Excerising ,is one of the most important ,things  life,none,it's ,is,mental activity,none,yes
exercising and being active can improve self-esteem and confidence +++$+++ Most people think of exercising as only being a physical activity,none,exercising  being active, can improve ,self-esteem  confidence,none, people think  exercising ,as only ,physical activity,none,yes
It is extremely rewarding and worthwhile +++$+++ Exercising also helps improve you brain function and your memory,none,It ,is extremely  rewarding  worthwhile,rewarding  worthwhile,none, Exercising ,helps improve ,brain function memory,none,yes
people who exercise have higher self esteem and confidence +++$+++ it helps relieves tension and stress,none,people exercise, have higher ,self esteem and confidence ,none, it helps relieves tension and stress,helps relieves ,tension  stress,none,yes
Exercising not only helps prevent cardiovascular diseases but it also helps prevent strokes type 2 diabetes and even certain types of cancer +++$+++ Many people come up with plenty of excuses to not exercise,none,Exercising ,helps prevent ,cardiovascular diseases strokes type 2 diabetes cancer,none,people ,come up with plenty of excuses ,exercise,to not ,yes
the number of people reading newspapers may continue falling sharply possibly leading to the close-downs of many in the coming time +++$+++ the internet service is being provided at a low cost or even free in many countries,supports,the number of people reading newspapers ,may continue falling sharply possibly leading to the close-downs of many in the coming time,none,none,the internet service, is being provided , cost  countries free, low ,no
the number of people reading newspapers may continue falling sharply possibly leading to the close-downs of many in the coming time +++$+++ The answer perhaps is that hardly would rational people do so,supports,the number of people reading newspapers ,may continue falling sharply possibly leading to the close-downs of many in the coming time,none,none,answer perhaps ,hardly would  do ,rational people,none,no
the number of people reading newspapers may continue falling sharply possibly leading to the close-downs of many in the coming time +++$+++ from the economic aspect buying newspapers appears to be a waste of money when the internet becomes available for every one,supports,the number of people reading newspapers ,may continue falling sharply possibly leading to the close-downs of many in the coming time,none,none,economic aspect ,buying  appears to be a waste ,newspapers money internet ,becomes available ,no
newspapers have lost their competitive advantage to sustain their prolonged existence +++$+++ the print media has failed to keep its important role in the provision of information,supports,newspapers ,have lost ,competitive advantage   existence,advantage prolonged,print media ,has failed to keep  important role ,provision of information,none,no
the print media has failed to keep its important role in the provision of information +++$+++ to obtain information using the internet is quicker and more convenient than reading newspapers,supports,print media ,has failed to keep  important role ,provision of information,none,obtain information nternet ,is quicker  more convenient ,reading newspapers,none,no
the print media has failed to keep its important role in the provision of information +++$+++ Contrary to the past when people had to wait long hours to take a daily newspaper nowadays they can acquire latest news updated every second through their mobile phones or computers connected to the internet everywhere and at anytime,supports,print media ,has failed to keep  important role ,provision of information,none,past  people wait long hours daily newspaper  ,they can acquire, latest news updated  second mobile phones  computers connected  internet everywhere anytime,none,no
newspapers have lost their competitive advantage to sustain their prolonged existence +++$+++ The internet has been more and more popular for recent years providing people with a huge source of information,supports,newspapers ,have lost ,competitive advantage   existence,advantage prolonged,The internet ,has been more  more popular ,recent years people source of information,none,no
the print media has failed to keep its important role in the provision of information +++$+++ these devices and machines are very common in all parts of the world making it easier for people to read a number of things that newspapers can not provide in only some pages,supports,print media ,has failed to keep  important role ,provision of information,none,these devices and machines ,are very common  making it easier ,worldfor people read  things ,none,no
newspapers have lost their competitive advantage to sustain their prolonged existence +++$+++ the number of people reading newspapers may continue falling sharply possibly leading to the close-downs of many in the coming time,supports,newspapers ,have lost ,competitive advantage   existence,advantage prolonged,the number of people reading newspapers ,may continue falling sharply possibly leading to the close-downs of many in the coming time,none,none,no
newspapers have lost their competitive advantage to sustain their prolonged existence +++$+++ newspapers' production will have to face environmentalists on its way to be alive,supports,newspapers ,have lost ,competitive advantage   existence,advantage prolonged, newspapers' production ,will have to face ,environmentalists o be alive,none,no
newspapers' production will have to face environmentalists on its way to be alive +++$+++ when taking environment into consideration people must conceive that the more newspapers are published the more trees are cut down,supports, newspapers' production ,will have to face ,environmentalists o be alive,none, environment  consideration ,conceive  cut down,people newspapers  published   trees  ,none,no
newspapers' production will have to face environmentalists on its way to be alive +++$+++ This is simply the contributor to the deforestation which is happening all over the world today,supports, newspapers' production ,will have to face ,environmentalists o be alive,none,This ,is contributor  ,deforestation all over the world ,none,no
to obtain information using the internet is quicker and more convenient than reading newspapers +++$+++ The answer perhaps is that hardly would rational people do so,none,obtain information nternet ,is quicker  more convenient ,reading newspapers,none,answer perhaps ,hardly would  do ,rational people,none,yes
the number of people reading newspapers may continue falling sharply possibly leading to the close-downs of many in the coming time +++$+++ when taking environment into consideration people must conceive that the more newspapers are published the more trees are cut down,none,the number of people reading newspapers ,may continue falling sharply possibly leading to the close-downs of many in the coming time,none,none, environment  consideration ,conceive  cut down,people newspapers  published   trees  ,none,yes
The internet has been more and more popular for recent years providing people with a huge source of information +++$+++ the print media has failed to keep its important role in the provision of information,none,The internet ,has been more  more popular ,recent years people source of information,none,print media ,has failed to keep  important role ,provision of information,none,yes
The answer perhaps is that hardly would rational people do so +++$+++ the internet service is being provided at a low cost or even free in many countries,none,answer perhaps ,hardly would  do ,rational people,none,the internet service, is being provided , cost  countries free, low ,yes
The answer perhaps is that hardly would rational people do so +++$+++ the print media has failed to keep its important role in the provision of information,none,answer perhaps ,hardly would  do ,rational people,none,print media ,has failed to keep  important role ,provision of information,none,yes
from the economic aspect buying newspapers appears to be a waste of money when the internet becomes available for every one +++$+++ The answer perhaps is that hardly would rational people do so,none,economic aspect ,buying  appears to be a waste ,newspapers money internet ,becomes available ,answer perhaps ,hardly would  do ,rational people,none,yes
newspapers have lost their competitive advantage to sustain their prolonged existence +++$+++ This is simply the contributor to the deforestation which is happening all over the world today,none,newspapers ,have lost ,competitive advantage   existence,advantage prolonged,This ,is contributor  ,deforestation all over the world ,none,yes
The internet has been more and more popular for recent years providing people with a huge source of information +++$+++ these devices and machines are very common in all parts of the world making it easier for people to read a number of things that newspapers can not provide in only some pages,none,The internet ,has been more  more popular ,recent years people source of information,none,these devices and machines ,are very common  making it easier ,worldfor people read  things ,none,yes
there are some serious problems springing from modern technology +++$+++ This can have a detrimental effect on their health,supports,modern technology, serious problems springing  ,none,none,This ,can have a detrimental effect ,health,none,no
there are some serious problems springing from modern technology +++$+++ They abuse them so severely that they feel they can hardly live without them,supports,modern technology, serious problems springing  ,none,none,They ,abuse so severely ,feel  live ,hardly,no
it can contribute greatly to the development of the world +++$+++ there are some serious problems springing from modern technology,attacks,it ,can contribute greatly ,development world ,none,modern technology, serious problems springing  ,none,none,no
This can have a detrimental effect on their health +++$+++ they are likely to develop many dangerous diseases including obesity heart attack and high blood-pressure,supports,This ,can have a detrimental effect , health,none, they ,are likely to develop  dangerous ,diseases  obesity heart attack blood-pressure,none,no
there are some serious problems springing from modern technology +++$+++ a lot of people spend too much time using hi-tech devices nowadays,supports,modern technology, serious problems springing  ,none,none,people ,spend too much time ,hi-tech devices nowadays,none,no
there are some serious problems springing from modern technology +++$+++ deadly and powerful weapons can be a huge threat to the world's peace,supports,modern technology, serious problems springing  ,none,none,deadly  powerful weapons ,can be a huge threat ,world's peace,none,no
it can contribute greatly to the development of the world +++$+++ we need to place less emphasis on technological solutions and more on other values such as economy politics and education,attacks,it ,can contribute greatly ,development world ,none,we place ,need less emphasis  and more on ,technological solutions  economy politics  education,none,no
it can contribute greatly to the development of the world +++$+++ Technology however is not the best solution to all the world's intricate problems,attacks,it ,can contribute greatly ,development world ,none,Technology ,is not the best solution, solution  world's intricate problems,none,no
technology plays an integral part in our lives +++$+++ With the invention of computers and the Internet we now can get easy access to all kinds of information,supports,technology, plays an integral part , our lives ,none,invention of computers  the Internet ,can get easy access , information,none,no
technology plays an integral part in our lives +++$+++ hi-tech devices also have a very positive impact on many aspects of our lives,supports,technology, plays an integral part , our lives ,none, hi-tech devices , have a very positive impact , aspects  our lives,none,no
it can contribute greatly to the development of the world +++$+++ technology plays an integral part in our lives,supports,it ,can contribute greatly ,development world ,none,technology, plays an integral part , our lives ,none,no
technology plays an integral part in our lives +++$+++ Medical advances can improve our health and cure many fatal diseases,supports,technology, plays an integral part , our lives ,none,Medical advances ,can improve cure,our health  fatal diseases,none,no
technology plays an integral part in our lives +++$+++ modern technology enables us to predict natural disasters much faster and more accurately so we can reduce the number of deaths and property damage,supports,technology, plays an integral part , our lives ,none,modern technology ,enables  much faster and more accurately ,predict natural disasters reduce deaths  property damage,none,no
hi-tech devices also have a very positive impact on many aspects of our lives +++$+++ They help us to work and study more efficiently thus leading to an improvement in our abilities,supports, hi-tech devices , have a very positive impact , aspects  our lives,none,They, help more efficiently  leading  improvement ,work  study  abilities,none,no
it can contribute greatly to the development of the world +++$+++ technology is very crucial for our lives,supports,it ,can contribute greatly ,development world ,none,technology ,is very crucial ,our lives,none,no
it can contribute greatly to the development of the world +++$+++ its advantages clearly outweigh its disadvantages,supports,it ,can contribute greatly ,development world ,none, its advantages ,clearly outweigh ,its disadvantages,none,no
This can have a detrimental effect on their health +++$+++ Technology however is not the best solution to all the world's intricate problems,none,This ,can have a detrimental effect , health,none,Technology ,is not the best solution, solution  world's intricate problems,none,yes
technology is very crucial for our lives +++$+++ With the invention of computers and the Internet we now can get easy access to all kinds of information,none,technology ,is very crucial ,our lives,none,invention of computers  the Internet ,can get easy access , information,none,yes
modern technology enables us to predict natural disasters much faster and more accurately so we can reduce the number of deaths and property damage +++$+++ a lot of people spend too much time using hi-tech devices nowadays,none,modern technology ,enables  much faster and more accurately ,predict natural disasters reduce deaths  property damage,none,people ,spend too much time ,hi-tech devices nowadays,none,yes
They help us to work and study more efficiently thus leading to an improvement in our abilities +++$+++ They abuse them so severely that they feel they can hardly live without them,none,They, help more efficiently  leading  improvement ,work  study  abilities,none,They ,abuse so severely ,feel  live ,hardly,yes
Medical advances can improve our health and cure many fatal diseases +++$+++ They abuse them so severely that they feel they can hardly live without them,none,Medical advances ,can improve cure,our health  fatal diseases,none,They ,abuse so severely ,feel  live ,hardly,yes
They abuse them so severely that they feel they can hardly live without them +++$+++ They help us to work and study more efficiently thus leading to an improvement in our abilities,none,They ,abuse so severely ,feel  live ,hardly,They, help more efficiently  leading  improvement ,work  study  abilities,none,yes
we need to place less emphasis on technological solutions and more on other values such as economy politics and education +++$+++ technology plays an integral part in our lives,none,we place ,need less emphasis  and more on ,technological solutions  economy politics  education,none,technology, plays an integral part , our lives ,none,yes
hi-tech devices also have a very positive impact on many aspects of our lives +++$+++ Medical advances can improve our health and cure many fatal diseases,none, hi-tech devices , have a very positive impact , aspects  our lives,none,Medical advances ,can improve cure,our health  fatal diseases,none,yes
deadly and powerful weapons can be a huge threat to the world's peace +++$+++ we need to place less emphasis on technological solutions and more on other values such as economy politics and education,none,deadly  powerful weapons ,can be a huge threat ,world's peace,none,we place ,need less emphasis  and more on ,technological solutions  economy politics  education,none,yes
This can have a detrimental effect on their health +++$+++ a lot of people spend too much time using hi-tech devices nowadays,none,This ,can have a detrimental effect ,health,none,people ,spend too much time ,hi-tech devices nowadays,none,yes
marijuana is addictive and can be abused thus making it mentally unhealthy +++$+++ anything has the potential to be abused even something as simple as food,attacks,marijuana ,is addictive  can be abused ,mentally unhealthy,none,anything ,has the potential to be abused , food,none,no
Teens are susceptible to harsher drugs after trying marijuana +++$+++ they are introduced to these hardcore drugs in the same underground market where they got the marijuana not because it's a gateway drug,supports,Teens ,are susceptible , harsher drugs marijuana ,none,they ,are introduced  hardcore ,drugs  underground market  marijuana  gateway drug,none,no
prohibition has kept marijuana out of children's hands +++$+++ Teens are susceptible to harsher drugs after trying marijuana,supports,prohibition marijuana,has kept  out ,children's hands ,none,Teens ,are susceptible , harsher drugs marijuana ,none,no
you'd have to explain why alcohol and tobacco are legal +++$+++ those substances are way more harmful than cannabis,supports,alcohol  tobacco ,are,legal,none,those substances ,are way more harmful,harmful  cannabis,none,no
prohibition does more harm than good +++$+++ marijuana is physically unhealthy for you and that's why it's illegal,attacks,prohibition ,does more harm than good,harm,none,marijuana , is  unhealthy,physically   unhealthy illegal,none,no
The war on drugs is a complete failure +++$+++ Legalize marijuana and you cut a huge percent of their profits army strength and political power,supports,war  drugs,is a complete failure,failure,none,Legalize marijuana ,cut a huge percent ,percent profits army   political power,strength,no
prohibition has kept marijuana out of children's hands +++$+++ It's a whole lot easier for kids to obtain marijuana as opposed to alcohol or tobacco,attacks,prohibition marijuana,has kept  out ,children's hands ,none, kids marijuana ,lot easier  obtain  ,alcohol  tobacco,none,no
prohibition does more harm than good +++$+++ prohibition has kept marijuana out of children's hands,attacks,prohibition ,does more harm than good,harm,none,prohibition marijuana,has kept  out ,children's hands ,none,no
It's a whole lot easier for kids to obtain marijuana as opposed to alcohol or tobacco +++$+++ A drug dealer doesn't check for ID like a cashier would,supports, kids marijuana ,lot easier  obtain  ,alcohol  tobacco,none,drug dealer ,doesn't check for, ID cashier ,none,no
people have benefited from marijuana whether it was for medical or recreational purposes +++$+++ Many cancer patients have used medical marijuana as a way of dealing with nausea after treatment or stimulating their appetite,supports,people  marijuana  ,have benefited ,medical  recreational purposes,none,Many cancer patients ,have used way of dealing ,medical marijuana  nausea appetite, treatment stimulating ,no
people have benefited from marijuana whether it was for medical or recreational purposes +++$+++ Many musicians admit that cannabis helps them get creative with their music and opens their minds to new ideas and concepts,supports,people  marijuana  ,have benefited ,medical  recreational purposes,none,musicians ,admit helps  get creative opens new ,  cannabis creative music minds ideas  concepts,none,no
prohibition has kept marijuana out of children's hands +++$+++ legalizing this drug would expose more children and teens to it,supports,prohibition marijuana,has kept  out ,children's hands ,none,legalizing  drug ,would expose more ,children  teens ,none,no
The main reason cannabis remains illegal is because lobbyists are making tons of money off of prohibition +++$+++ Pharmaceutical companies lobby against cannabis because at a lower price there are so many drugs painkillers sleep medication it could replace,supports,reason cannabis  illegal ,is   are making tons of ,lobbyists money,none,Pharmaceutical companies lobby , against ,lobby  cannabis drugs painkillers sleep medication,none,no
The legalization of marijuana would help get the economy going again +++$+++ Not to mention it would create tons of jobs and people in prison for marijuana crimes would be released,supports,legalization of marijuana ,would help get going again,economy,none,it, would create tons , jobs  people  prison marijuana crimes ,would be released,no
prohibition does more harm than good +++$+++ The legalization of marijuana would help get the economy going again,supports,prohibition ,does more harm than good,harm,none,legalization of marijuana ,would help get going again,economy,none,no
The legalization of marijuana would help get the economy going again +++$+++ Despite great efforts by the federal government against marijuana it has become a large part of the national economy,supports,legalization of marijuana ,would help get going again,economy,none,efforts federal government against marijuana ,has become a large part ,national economy,none,no
The legalization of marijuana would help get the economy going again +++$+++ if we were to legalize and tax it the government would make tons of profit and we could start paying off this $16trillion national debt,supports,legalization of marijuana ,would help get going again,economy,none, legalize  tax it,would make tons could start paying off , government profit  $16trillion national debt,none,no
Legalize marijuana and you cut a huge percent of their profits army strength and political power +++$+++ Otherwise they're going to do whatever they can to save the marijuana black market,supports,Legalize marijuana ,cut a huge percent of , profits army political power,strength,they, are going to do whatever they can to save,save  marijuana black market,none,no
Not to mention it would create tons of jobs and people in prison for marijuana crimes would be released +++$+++ In a country with only 5 of the earth's population the United States holds 25 of the world's prisoners Marijuana Prison Statistics,supports,it, would create tons , jobs  people  prison marijuana crimes ,would be released,country  5  earth's population  United States, holds ,25 world's prisoners Marijuana Prison Statistics,none,no
prohibition does more harm than good +++$+++ people have benefited from marijuana whether it was for medical or recreational purposes,supports,prohibition ,does more harm than good,harm,none,people  marijuana  ,have benefited ,medical  recreational purposes,none,no
Not to mention it would create tons of jobs and people in prison for marijuana crimes would be released +++$+++ A significant amount of those criminals are in there for drug related crimes,supports,it, would create tons , jobs  people  prison marijuana crimes ,would be released,criminals ,A significant amount are in there for ,drug related crimes,none,no
marijuana is physically unhealthy for you and that's why it's illegal +++$+++ zero people have died from overdosing on pot,attacks,marijuana , is  unhealthy,physically   unhealthy illegal,none, people ,zero have died from ,overdosing  pot,none,no
marijuana is physically unhealthy for you and that's why it's illegal +++$+++ you'd have to explain why alcohol and tobacco are legal,attacks,marijuana , is  unhealthy,physically   unhealthy illegal,none, you'd explain ,have to explain , alcohol  tobacco ,are legal,no
those substances are way more harmful than cannabis +++$+++ 79000 people a year die from alcohol poisoning,supports,those substances ,are way more harmful,harmful  cannabis,none,79000 people a year die ,die from ,alcohol poisoning,none,no
The war on drugs is a complete failure +++$+++ The main reason cannabis remains illegal is because lobbyists are making tons of money off of prohibition,supports,war  drugs,is a complete failure,failure,none,reason cannabis  illegal ,is   are making tons of ,lobbyists money,none,no
prohibition does more harm than good +++$+++ The war on drugs is a complete failure,supports,prohibition ,does more harm than good,harm,none,war  drugs,is a complete failure,failure,none,no
prohibition does more harm than good +++$+++ marijuana is addictive and can be abused thus making it mentally unhealthy,attacks,prohibition ,does more harm than good,harm,none,marijuana ,is addictive  can be abused ,mentally unhealthy,none,no
The war on drugs is a complete failure +++$+++ Another group that benefits greatly from prohibition are the drug cartels,supports,war  drugs,is a complete failure,failure,none,group , benefits greatly from prohibition ,drug cartels,none,no
The war on drugs is a complete failure +++$+++ It's done nothing but waste tax payer dollars fill prisons with non violent criminals and create a black market,supports,war  drugs,is a complete failure,failure,none,It's ,done nothing  waste ,tax payer dollars  prisons criminals black market,none,no
Many cancer patients have used medical marijuana as a way of dealing with nausea after treatment or stimulating their appetite +++$+++ zero people have died from overdosing on pot,none,Many cancer patients ,have used way of dealing ,medical marijuana  nausea appetite, treatment stimulating , people ,zero have died from ,overdosing  pot,none,yes
Another group that benefits greatly from prohibition are the drug cartels +++$+++ It's a whole lot easier for kids to obtain marijuana as opposed to alcohol or tobacco,none,group , benefits greatly from prohibition ,drug cartels,none, kids marijuana ,lot easier  obtain  ,alcohol  tobacco,none,yes
79000 people a year die from alcohol poisoning +++$+++ marijuana is physically unhealthy for you and that's why it's illegal,none,79000 people a year die ,die from ,alcohol poisoning,none,marijuana , is  unhealthy,physically   unhealthy illegal,none,yes
Many musicians admit that cannabis helps them get creative with their music and opens their minds to new ideas and concepts +++$+++ The legalization of marijuana would help get the economy going again,none,musicians ,admit helps  get creative opens new ,  cannabis creative music minds ideas  concepts,none,legalization of marijuana ,would help get going again,economy,none,yes
Otherwise they're going to do whatever they can to save the marijuana black market +++$+++ Not to mention it would create tons of jobs and people in prison for marijuana crimes would be released,none,they, are going to do whatever they can to save,save  marijuana black market,none,none, would create tons , jobs  people  prison marijuana crimes ,would be released,yes
zero people have died from overdosing on pot +++$+++ The legalization of marijuana would help get the economy going again,none, people ,zero have died from ,overdosing  pot,none,legalization of marijuana ,would help get going again,economy,none,yes
prohibition does more harm than good +++$+++ anything has the potential to be abused even something as simple as food,none,prohibition ,does more harm than good,harm,none,anything ,has the potential to be abused ,food,none,yes
prohibition has kept marijuana out of children's hands +++$+++ The main reason cannabis remains illegal is because lobbyists are making tons of money off of prohibition,none,prohibition marijuana,has kept  out ,children's hands ,none,reason cannabis  illegal ,is   are making tons of ,lobbyists money,none,yes
they are introduced to these hardcore drugs in the same underground market where they got the marijuana not because it's a gateway drug +++$+++ legalizing this drug would expose more children and teens to it,none,they ,are introduced  hardcore ,drugs  underground market  marijuana  gateway drug,none,legalizing  drug ,would expose more ,children  teens ,none,yes
prohibition has kept marijuana out of children's hands +++$+++ people have benefited from marijuana whether it was for medical or recreational purposes,none,prohibition marijuana,has kept  out ,children's hands ,none,people  marijuana  ,have benefited ,medical  recreational purposes,none,yes
Same sex marriage being illegal rids the couple of their civil rights +++$+++ Civil rights are something people have worked hard to maintain over the years abolishing slavery and treating women equally,supports,Same sex marriage ,being illegal rids , illegal couple civil rights ,none,Civil rights ,are  worked hard to maintain treating  equally,abolishing slavery treating women ,none,no
